"レベル","単元","グループ","単語(中文)","ピンイン","訳(日本語)","例文(中文)","例文(ピンイン)","例文訳","単語音声ファイル","日本語音声ファイル","例文音声ファイル"
4,61,61,"诚实","chéng shí","誠実だ・正直だ","他的优点是有礼貌，诚实，能吃苦。","Tā de yōu diǎn shì yǒu lǐ mào, chéng shí, néng chī kǔ.","彼のいいところは礼儀正しくて誠実で我慢強い点です。",4Qtango061.mp3,4Qimi061.mp3,4Qreibun061.mp3
4,132,61,"翻译","fān yì","翻訳（する）","我们翻译,每1000字150元人民币。","Wǒ men fān yì, měi 1 0 0 0 zì 1 5 0 yuán rén mín bì.","私たちの翻訳は1000 字当たり人民元で150 元です。",4Qtango132.mp3,4Qimi132.mp3,4Qreibun132.mp3
4,203,61,"海洋","hăi yáng","海","在海洋里，也生长着很多种植物。","Zài hǎi yáng li, yě shēng zhǎng zhe hěn duō zhǒng zhí wù. ","海の中にも多くの植物が生育しています。",4Qtango203.mp3,4Qimi203.mp3,4Qreibun203.mp3
4,274,61,"进行","jìn xíng","行う・進める","同学们在超市进行了调查。","Tóng xué men zài chāo shì jìn xíng le diào chá.","同級生たちはスーパーマーケットでリサーチを行いました。",4Qtango274.mp3,4Qimi274.mp3,4Qreibun274.mp3
4,345,61,"留","liú","残す・残る","今天应该完成的事情就不能留到明天。","Jīn tiān yīng gāi wán chéng de shì qing jiù bù néng liú dào míng tiān.","今日終わらせるべきことは明日に残させずにしなければなりません。",4Qtango345.mp3,4Qimi345.mp3,4Qreibun345.mp3
4,416,61,"缺点","quē diăn","欠点","我们都有缺点，不可能把每件事都做得很好。","Wǒ men dōu yǒu quē diǎn, bù kě néng bǎ měi jiàn shì dōu zuò de hěn hǎo.","誰もがみな欠点をもっており、すべての物事をうまくできるわけがないのです。",4Qtango416.mp3,4Qimi416.mp3,4Qreibun416.mp3
4,487,61,"塑料袋","sù liào dài","ビニール袋","那个塑料袋是什么颜色的？","Nà ge sù liào dài shì shén me yán sè de?","そのビニール袋はどんな色ですか？",4Qtango487.mp3,4Qimi487.mp3,4Qreibun487.mp3
4,558,61,"小伙子","xiǎo huǒ zi","（男性の）若者（話し言葉）","他们是一群很棒的小伙子。","Tā men shì yì qún hěn bàng de xiǎo huǒ zi.","彼らはいい若者達ですよ。 ",4Qtango558.mp3,4Qimi558.mp3,4Qreibun558.mp3
4,628,61,"语法","yŭ fă","文法","这篇文章你还得拿回去好好改改，有几个句子还有语法问题。","Zhè piān wén zhāng nǐ hái děi ná huí qu hǎo hao gǎi gai, yǒu jǐ ge jù zǐ hái yǒu yǔ fǎ wèn tí.","この文章は持って帰ってもう少し書き直してください。いくつかのセンテンスには文法の間違いがありますので。",4Qtango628.mp3,4Qimi628.mp3,4Qreibun628.mp3
4,698,61,"嘴","zuĭ","口","“光说不练”的意思是有些人只是嘴上说说，实际上却不做。","“Guāng shuō bú liàn” de yì si shì yǒu xiē rén zhǐ shì zuǐ shang shuō shuo, shí jì shang què bú zuò.","「光説不練」の意味は、ある人が口で言うだけで実際はやらないということです。",4Qtango698.mp3,4Qimi698.mp3,4Qreibun698.mp3
4,62,62,"厕所","cè suǒ","便所・トイレ","请问，这儿附近有厕所吗？","Qǐng wèn, zhè r fù jìn yǒu cè suǒ ma?","すみません。この近くにトイレがありますか？",4Qtango062.mp3,4Qimi062.mp3,4Qreibun062.mp3
4,133,62,"烦恼","fán năo","悩み","给人们带来烦恼的是科学技术。","Gěi rén men dài lái fán nǎo de shì kē xué jì shù.","人々に悩みをもたらしたのは科学技術です。",4Qtango133.mp3,4Qimi133.mp3,4Qreibun133.mp3
4,204,62,"害羞","hài xiū","恥ずかしい","喜欢穿白色衣服的女孩子在生活中很害羞。","Xǐ huan chuān bái sè yī fu de nǚ hái zi zài shēng huó zhōng hěn hài xiū.","白い服を着るのが好きな女子は、生活において恥ずかしがり屋です。",4Qtango204.mp3,4Qimi204.mp3,4Qreibun204.mp3
4,275,62,"禁止","jìn zhĭ","禁止する","加油站附近禁止打电话。","Jiā yóu zhàn fù jìn jìn zhǐ dǎ diàn huà.","ガソリンスタンドの近くは電話禁止となっています。",4Qtango275.mp3,4Qimi275.mp3,4Qreibun275.mp3
4,346,62,"留学","liú xué","留学する","怎么突然想出国留学了？","Zěn me tū rán xiǎng chū guó liú xué le?","どうして突然海外留学したくなりましたか？",4Qtango346.mp3,4Qimi346.mp3,4Qreibun346.mp3
4,417,62,"缺少","quē shăo","不足する","看来你确实缺少锻炼。","Kàn lái nǐ què shí quē shǎo duàn liàn.","あなた本当に運動不足ですね。",4Qtango417.mp3,4Qimi417.mp3,4Qreibun417.mp3
4,488,62,"酸","suān","すっぱい","昨天买的西红柿有点儿酸。","Zuó tiān mǎi de xī hóng shì yǒu diǎn r suān.","昨日買ったトマトはちょっとすっぱかったです。",4Qtango488.mp3,4Qimi488.mp3,4Qreibun488.mp3
4,559,62,"小说","xiăo shuō","小説","那本小说的作者很有名。","Nà běn xiǎo shuō de zuò zhě hěn yǒu míng.","あの小説の作者はとても有名です。",4Qtango559.mp3,4Qimi559.mp3,4Qreibun559.mp3
4,629,62,"语言","yŭ yán","言語","语言是交流的工具。","Yǔ yán shì jiāo liú de gōng jù.","言語とは交流の手段なのです。",4Qtango629.mp3,4Qimi629.mp3,4Qreibun629.mp3
4,699,62,"最好","zuì hăo","できることなら～","你最好别告诉他答案。","Nǐ zuì hǎo bié gào su tā dáʼ àn.","できることなら彼に答えを教えないでください。",4Qtango699.mp3,4Qimi699.mp3,4Qreibun699.mp3
4,63,63,"吃惊","chī jīng","驚く","这件事真让人吃惊。","Zhè jiàn shì zhēn ràng rén chī jīng.","このことで本当に驚かされました。",4Qtango063.mp3,4Qimi063.mp3,4Qreibun063.mp3
4,134,63,"反对","făn duì","反対（する）","妈和你爸都不反对。"," Mā hé nǐ bà dōu bù fǎn duì.","お母さんもお父さんも反対しないです。",4Qtango134.mp3,4Qimi134.mp3,4Qreibun134.mp3
4,205,63,"寒假","hán jià","冬休み","你自己安排，只要在寒假前交给我就行。","Nǐ zì jǐ ān pái, zhǐ yào zài hán jià qián jiāo gěi wǒ jiù xíng.","あなたの都合のいい時でいいので、冬休み前に渡してくれさえすればそれでいいですよ。",4Qtango205.mp3,4Qimi205.mp3,4Qreibun205.mp3
4,276,63,"精彩","jīng căi","すばらしい","只有懂得放弃和学会选择的人，才能赢得精彩的生活。","Zhǐ yǒu dǒng de fàng qì hé xué huì xuǎn zé de rén, cái néng yíng dé jīng cǎi de shēng huó.","諦めを理解し、選択を学び取った人だけがすばらしい生活を勝ち取ることができるのです。",4Qtango276.mp3,4Qimi276.mp3,4Qreibun276.mp3
4,347,63,"流泪","liú lèi","涙を流す","他几乎要流泪了。","Tā jī hū yào liú lèi le.","彼は泣き出しそうでした。 ",4Qtango347.mp3,4Qimi347.mp3,4Qreibun347.mp3
4,418,63,"却","què","かえって・～のに・～にもかかわらず","黄色和白色让人觉得心情愉快，黑色却容易让人感到伤心难过。","Huáng sè hé bái sè ràng rén jué de xīn qíng yú kuài, hēi sè què róng yì ràng rén gǎn dào shāng xīn nán guò.","黄色と白色は人を愉快な気持ちをもたらしますのに、黒色は容易に人を悲しくつらくさせます。",4Qtango418.mp3,4Qimi418.mp3,4Qreibun418.mp3
4,489,63,"算","suàn","～とみなす・～とする","很多女孩子认为经历了酸甜苦辣的爱情才算是深厚的。","Hěn duō nǚ hái zi rèn wéi jīng lì le suān tián kǔ là de ài qíng cái suàn shì shēn hòu de.","多くの女の子は様々な感情の恋愛体験を経てこそ愛情の深みが増すと考えています。",4Qtango489.mp3,4Qimi489.mp3,4Qreibun489.mp3
4,560,63,"效果","xiào guŏ","効果","打针比吃药效果好。","Dǎ zhēn bǐ chī yào xiào guǒ hǎo.","注射は薬より効果があります。",4Qtango560.mp3,4Qimi560.mp3,4Qreibun560.mp3
4,630,63,"羽毛球","yŭ máo qiú","バドミントン","奶奶，我去打羽毛球了，再见。","Nǎi nai, wǒ qù dǎ yǔ máo qíu le, zài jiàn.","おばあちゃん、私バドミントンをしに行ってくるよ。じゃあね。",4Qtango630.mp3,4Qimi630.mp3,4Qreibun630.mp3
4,700,63,"最后","zuì hòu","最後","偶尔的失败可以帮助我们走向最后的成功。","Ǒuʼ ěr de shī bài kě yǐ bāng zhù wǒ men zǒu xiàng zuì hòu de chéng gōng.","たまの失敗は最後の成功に向かって進む手助けとなるのです。",4Qtango700.mp3,4Qimi700.mp3,4Qreibun700.mp3
4,64,64,"重新","chóng xīn","もう一度：改めて","请您重新填写一下。","Qǐng nín chóng xīn tián xiě yí xià.","再度ご記入願います。",4Qtango064.mp3,4Qimi064.mp3,4Qreibun064.mp3
4,135,64,"反映","făn yìng","反映する：評判","阅读考试的分数往往还能反映一个国家的教育水平。","Yuè dú kǎo shì de fēn shù wǎng wǎng hái néng fǎn yìng yí ge guó jiā de jiào yù shuǐ píng.","読解テストの点数は往々にして一国の教育水準を反映することさえできるのです。",4Qtango135.mp3,4Qimi135.mp3,4Qreibun135.mp3
4,206,64,"汗","hàn","汗","多出汗对身体好。","Duō chū hàn duì shēn tǐ hǎo.","汗をたくさんかくことは体にいいです。",4Qtango206.mp3,4Qimi206.mp3,4Qreibun206.mp3
4,277,64,"精神","jīng shén","精神","网站，极大地丰富了现代人的精神生活。","Wǎng zhàn, jí dà de fēng fù le xiàn dài rén de jīng shén shēng huó.","ホームページは現代人の精神的生活に大いに豊かさをもたらしました。",4Qtango277.mp3,4Qimi277.mp3,4Qreibun277.mp3
4,348,64,"流利","liú lì","流暢だ","他的中文说得很流利。","Tā de zhōng wén shuō de hěn liú lì.","彼の中国語は話し方がとても流暢です。",4Qtango348.mp3,4Qimi348.mp3,4Qreibun348.mp3
4,419,64,"确实","què shí","確かに","她的服务态度确实挺好。","Tā de fú wù tài du què shí tǐng hǎo.","彼女の仕事に対する姿勢は確かにすばらしいです。",4Qtango419.mp3,4Qimi419.mp3,4Qreibun419.mp3
4,490,64,"随便","suí biàn","自由だ・気ままだ・いい加減だ","现在即使穿得更随便些，同样也会有人认识我。","Xiàn zài jí shǐ chuān de gèng suí biàn xiē, tóng yàng yě huì yǒu rén rèn shi wǒ.","今はもっと身なりにかまわなくても人はきっと私のことが分かりますから。",4Qtango490.mp3,4Qimi490.mp3,4Qreibun490.mp3
4,561,64,"心情","xīn qíng","気持ち","男的现在心情怎么样？","Nán de xiàn zài xīn qíng zěn me yàng?","男性は現在どんな気持ちですか？",4Qtango561.mp3,4Qimi561.mp3,4Qreibun561.mp3
4,631,64,"预习","yù xí","予習する","课前预习和课后复习是必不可少的。","Kè qián yù xí hé kè hòu fù xí shì bì bù kě shǎo de.","授業前の予習と授業後の復習は欠かせないものです。",4Qtango631.mp3,4Qimi631.mp3,4Qreibun631.mp3
4,701,64,"尊重","zūn zhòng","尊重する","要获得别人的尊重，必须先尊重别人。","Yào huò dé bié ren de zūn zhòng, bì xū xiān zūn zhòng bié ren.","人に尊重されたいのであれば、まず人を尊重しなくてはなりません。",4Qtango701.mp3,4Qimi701.mp3,4Qreibun701.mp3
4,65,65,"抽烟","chōu yān","たばこを吸う","这儿不能抽烟。","Zhè r bù néng chōu yān.","こちらは禁煙となっております。",4Qtango065.mp3,4Qimi065.mp3,4Qreibun065.mp3
4,136,65,"范围","fàn wéi","範囲","他说的问题超出了今天讨论的范围。","Tā shuō de wèn tí chāo chū le jīn tiān tǎo lùn de fàn wéi.","彼が提起した問題は本日の議論の範囲外でした。",4Qtango136.mp3,4Qimi136.mp3,4Qreibun136.mp3
4,207,65,"航班","háng bān","（飛行機の）便","他乘坐的航班大约半小时后就要起飞了。","Tā chéng zuò de háng bān dà yuē bàn xiǎo shí hòu jiù yào qǐ fēi le.","彼が搭乗する便はあと約30分で離陸します。",4Qtango207.mp3,4Qimi207.mp3,4Qreibun207.mp3
4,278,65,"经济","jīng jì","経済","亚洲经济的增长速度正在逐渐提高。","Yà zhōu jīng jì de zēng zhǎng sù dù zhèng zài zhú jiàn tí gāo.","アジア経済の成長速度は次第に加速しているところです。",4Qtango278.mp3,4Qimi278.mp3,4Qreibun278.mp3
4,349,65,"流行","liú xíng","流行する・はやっている","今晚我穿这条裙子怎么样？今年最流行的。","Jīn wǎn  wǒ chuān zhè tiáo qún zi zěn me yàng? Jīn nián zuì liú xíng de.","今夜はこのスカートをはこうと思うんですけど、どうですか？今年一番の流行のものですよ。",4Qtango349.mp3,4Qimi349.mp3,4Qreibun349.mp3
4,420,65,"群","qún","～群（群れを数える量詞）","这本小说讲了一群性格各不相同的年轻人到北京工作的故事。","Zhè běn xiǎo shuō jiǎng le yì qún xìng gé gè bù xiāng tóng de nián qīng rén dào běi jīng gōng zuò de gù shì.","この小説は性格も様々な一群の若者たちが北京で仕事することを描いています。",4Qtango420.mp3,4Qimi420.mp3,4Qreibun420.mp3
4,491,65,"随着","suí zhe","～に従って・～につれて","随着科学技术的发展，我们的世界正在越变越小。","Suí zhe kē xué jì shù de fā zhǎn, wǒ men de shì jiè zhèng zài yuè biàn yuè xiǎo.","科学技術の発展につれ、私たちの世界は今まさに発展すればするほど小さくなっています。",4Qtango491.mp3,4Qimi491.mp3,4Qreibun491.mp3
4,562,65,"辛苦","xīn kŭ","苦労をかける：苦労する・苦しい","小王，这份材料明天早上就要用，得请你翻译一下，辛苦你了。","Xiǎo Wáng, zhè fèn cái liào míng tiān zǎo shang jiù yào yòng, děi qǐng nǐ fān yì yí xià, xīn kǔ nǐ le.","王さん、この資料は明日の朝必要なので、翻訳してもらわなければいけないんです。苦労をおかけします。",4Qtango562.mp3,4Qimi562.mp3,4Qreibun562.mp3
4,632,65,"圆","yuán","丸い","那天晚上的月亮又大又圆。","Nà tiān wǎn shang de yuè liang yòu dà yòu yuán.","その夜の月は大きくて丸かったです。",4Qtango632.mp3,4Qimi632.mp3,4Qreibun632.mp3
4,702,65,"左右","zuǒ yòu","～ぐらい：左と右","这本书有500页左右。","Zhè běn shū yǒu 5 0 0 yè zuǒ yòu.","この本は500ページくらいあります。",4Qtango702.mp3,4Qimi702.mp3,4Qreibun702.mp3
4,66,66,"出差","chū chāi","出張（する）","这次出差还顺利吧？","Zhè cì chū chāi hái shùn lì ba?","今回の出張はまあまあ順調だったでしょう？",4Qtango066.mp3,4Qimi066.mp3,4Qreibun066.mp3
4,137,66,"方法","fāng fă","方法","这才是学习汉语的好方法。","Zhè cái shì xué xí hàn yǔ de hǎo fāng fǎ.","それこそ中国語を学ぶよい方法です。",4Qtango137.mp3,4Qimi137.mp3,4Qreibun137.mp3
4,208,66,"好处","hăo chu","いいところ・いい点・利益","抽烟对身体没有好处。"," Chōu yān duì shēn tǐ méi yǒu hǎo chu. ","喫煙は体によくないです。",4Qtango208.mp3,4Qimi208.mp3,4Qreibun208.mp3
4,279,66,"经历","jīng lì","経験（する）・経歴","同情是对别人经历的情感的理解、尊重和支持。","Tóng qíng shì duì bié ren jīng lì de qíng gǎn de lǐ jiě, zūn zhòng hé zhī chí.","同情は他者の経験した感情に対する理解であり、尊重であり、支えになるものです。",4Qtango279.mp3,4Qimi279.mp3,4Qreibun279.mp3
4,350,66,"乱","luàn","乱れている・秩序がない","那个房间又脏又乱。","Nà ge fáng jiān yòu zāng yòu luàn.","あの部屋は汚いしちらかっています。",4Qtango350.mp3,4Qimi350.mp3,4Qreibun350.mp3
4,421,66,"然而","rán' ér","しかしながら","海洋底部看起来非常安静，然而却不是一点儿声音也没有。","Hǎi yáng dǐ bù kàn qǐ lái fēi cháng ān jìng, ránʼ ér què bú shì yì diǎn r shēng yīn yě méi yǒu.","海の底は非常に静かに見えますが、ちっとも音がないわけでもありません。",4Qtango421.mp3,4Qimi421.mp3,4Qreibun421.mp3
4,492,66,"孙子","sūn zi","孫","我孙子是去年秋天出生的。","Wǒ sūn zi shì qù nián qiū tiān chū shēng de.","私の孫は昨年の秋に生まれたのです。",4Qtango492.mp3,4Qimi492.mp3,4Qreibun492.mp3
4,563,66,"信封","xìn fēng","封筒","在哪儿能买到信封?","Zài nǎ r néng mǎi dào xìn fēng?","どこで封筒が買えますか? ",4Qtango563.mp3,4Qimi563.mp3,4Qreibun563.mp3
4,633,66,"原来","yuán lái","もともと・なんと～だったか","会议原来准备什么时候开？","Huì yì yuán lái zhǔn bèi shén me shí hou kāi?","会議はもともといつ開く予定でしたか？",4Qtango633.mp3,4Qimi633.mp3,4Qreibun633.mp3
4,703,66,"座","zuò","大きくて動かないもの（山や建物など）を数える量詞","那座山看起来像一头牛。","Nà zuò shān kàn qi lai xiàng yì tóu niú.","あの山は牛のようです。",4Qtango703.mp3,4Qimi703.mp3,4Qreibun703.mp3
4,67,67,"出发","chū fā","出発（する）","明天九点出发。"," Míng tiān jiǔ diǎn chū fā.","明日9 時に出発です。",4Qtango067.mp3,4Qimi067.mp3,4Qreibun067.mp3
4,138,67,"方面","fāng miàn","方面","教育孩子要考虑哪方面的不同？","Jiào yù hái zi yào kǎo lǜ nǎ fāng miàn de bù tóng?","子供を教育する際どういう面での違いに注意するべきですか？",4Qtango138.mp3,4Qimi138.mp3,4Qreibun138.mp3
4,209,67,"好像","hăo xiàng","まるで～みたいだ・～のようだ","今天真冷啊，好像白天最高温度才2℃。","Jīn tiān zhēn lěng a, hǎo xiàng bái tiān zuì gāo wēn dù cái 2 dù.","今日はほんとうに寒いですね。昼間の最高気温はたった2 ℃しかないみたいです。",4Qtango209.mp3,4Qimi209.mp3,4Qreibun209.mp3
4,280,67,"经验","jīng yàn","経験（する）","这让我积累了较为丰富的工作经验。","Zhè ràng wǒ jī lěi le jiào wéi fēng fù de gōng zuò jīng yàn.","おかげで仕事の経験をたくさん積むことができました。",4Qtango280.mp3,4Qimi280.mp3,4Qreibun280.mp3
4,351,67,"旅行","lǚ xíng","旅行（する）","我姐姐是大学老师，每个寒暑假都会出去旅行。","Wǒ jiě jie shì dà xué lǎo shī, měi ge hán shǔ jià dōu huì chū qù lǚ xíng.","私の姉は大学教師で、冬休みや、夏休みなどよく旅行へ行きます。",4Qtango351.mp3,4Qimi351.mp3,4Qreibun351.mp3
4,422,67,"热闹","rè nao","にぎやかだ","走吧，人多了还热闹。","Zǒu ba, rén duō le hái rè nao.","行きましょう。人が多いほどにぎやかですし。",4Qtango422a.mp3,4Qimi422.mp3,4Qreibun422.mp3
4,493,67,"所有","suŏ yŏu","すべての","今晚公司有活动，所有人都必须参加。","Jīn wǎn gōng sī yǒu huó dòng, suǒ yǒu rén dōu bì xū cān jiā.","今晩は会社にイベントがあります。全員参加必須です。",4Qtango493.mp3,4Qimi493.mp3,4Qreibun493.mp3
4,564,67,"信任","xìn rèn","信頼（する）","人们喜欢养狗，是因为在孤单的时候，狗会陪着他们，互相信任。","Rén men xǐ huan yǎng gǒu, shì yīn wèi zài gū dān de shí hou, gǒu huì péi zhe tā men, hù xiāng xìn rèn.","人間が犬を飼うのが好きなのも、一人ぼっちの時に犬が寄り添ってくれ、お互いに信頼し合うことができるからです。",4Qtango564.mp3,4Qimi564.mp3,4Qreibun564.mp3
4,634,67,"原谅","yuán liàng","許す","原谅是一种美，我们常说要学会原谅别人，但也要试着原谅自己。","Yuán liàng shì yì zhǒng měi, wǒ men cháng shuō yào xué huì yuán liàng bié ren, dàn yě yào shì zhe yuán liàng zì jǐ.","許すことは1 つの美です。私たちは他者を許すことを学ぶ必要があると良く言いますが、自分を許してみることも必要です。",4Qtango634.mp3,4Qimi634.mp3,4Qreibun634.mp3
4,704,67,"座位","zuò wèi","座席","先生您好，您的座位在这儿。","Xiān sheng nín hǎo, nín de zuò wèi zài zhè r.","いらっしゃいませ。お席はこちらです。",4Qtango704.mp3,4Qimi704.mp3,4Qreibun704.mp3
4,68,68,"出生","chū shēng","生まれる","我孙子是去年秋天出生的。","Wǒ sūn zi shì qù nián qiū tiān chū shēng de.","私の孫は昨年の秋に生まれました。",4Qtango068.mp3,4Qimi068.mp3,4Qreibun068.mp3
4,139,68,"方向","fāng xiàng","方向","咱们弄错方向了。","Zán men nòng cuò fāng xiàng le.","私たちは方向を間違えました。",4Qtango139.mp3,4Qimi139.mp3,4Qreibun139.mp3
4,210,68,"号码","hào mă","番号","想要密码安全，最好不要用手机号码、生日等。","Xiǎng yào mì mǎ ān quán, zuì hǎo bú yào yòng shǒu jī hào mǎ,shēng rì děng.","パスワードを安全にしたいのであれば、携帯電話番号や誕生日などは使わない方がよいです。",4Qtango210.mp3,4Qimi210.mp3,4Qreibun210.mp3
4,281,68,"京剧","jīng jù","京劇","他把京剧的一些特点增加到自己的音乐中，取得了很好的效果。","Tā bǎ jīng jù de yì xiē tè diǎn zēng jiā dào zì jǐ de yīn yuè zhōng, qǔ dé le hěn hǎo de xiào guǒ.","彼は京劇のいくつかの特徴を自分の音楽の中に加え、よい結果を得ました。",4Qtango281.mp3,4Qimi281.mp3,4Qreibun281.mp3
4,352,68,"律师","lǜ shī","弁護士","王律师，我有一个朋友想来上海做生意。","Wáng lǜ shī, wǒ yǒu yí ge péng you xiǎng lái Shàng hǎi zuò shēng yi.","王弁護士、私の友人が上海で商売を始めたいのですが。",4Qtango352.mp3,4Qimi352.mp3,4Qreibun352.mp3
4,423,68,"人民","rén mín","人民・国民・人々","为人民服务。","Wèi rén mín fú wù.","人々のために奉仕します。",4Qtango423.mp3,4Qimi423.mp3,4Qreibun423.mp3
4,494,68,"台","tái","～台（大型の機械・設備を数える量詞）","图书馆一楼东边有几台自助复印机。","Tú shū guǎn yī lóu dōng bian yǒu jǐ tái zì zhù fù yìn jī.","図書館の1 階東側にセルフコピー機が何台かありますよ。",4Qtango494.mp3,4Qimi494.mp3,4Qreibun494.mp3
4,565,68,"信息","xìn xī","情報・インフォメーション","这些信息在公司网站上都有详细的介绍。","Zhè xiē xìn xī zài gōng sī wǎng zhàn shang dōu yǒu xiáng xì de jiè shào.","こうした情報は会社のウェブサイト上に詳しい説明がございます。",4Qtango565.mp3,4Qimi565.mp3,4Qreibun565.mp3
4,635,68,"原因","yuán yīn","原因・理由","没人知道校长反对的原因。","Méi rén zhī dào xiào zhǎng fǎn duì de yuán yīn.","校長先生が反対する理由を分かっている人はいません。",4Qtango635.mp3,4Qimi635.mp3,4Qreibun635.mp3
4,705,68,"作家","zuò jiā","作家","你喜欢的作家是谁?","Nǐ xǐ huan de zuò jiā shì shéi?","あなたの好きな作家は誰ですか? ",4Qtango705.mp3,4Qimi705.mp3,4Qreibun705.mp3
4,69,69,"出现","chū xiàn","出現する・現れる","100年前，塑料一出现就受到人们的普遍欢迎。","1 0 0 nián qián, sù liào yì chū xiàn jiù shòu dào rén men de pǔ biàn huān yíng.","100年前、プラスチックは出現するやいなや、人 々の全面的な歓迎を受けました。",4Qtango069.mp3,4Qimi069.mp3,4Qreibun069.mp3
4,140,69,"房东","fáng dōng","家主・大家 ","我们的房东很幽默。","Wǒ men de fáng dōng hěn yōu mò.","うちらの大家さんはとてもユーモアがある方です。",4Qtango140.mp3,4Qimi140.mp3,4Qreibun140.mp3
4,211,69,"合格","hé gé","規格に合う・合格（する）","这种沙发质量不合格。","Zhè zhǒng shā fā zhì liàng bù hé gé. ","このソファーは品質が規格に合いません。",4Qtango211.mp3,4Qimi211.mp3,4Qreibun211.mp3
4,282,69,"警察","jĭng chá","警察","一个合格的警察最重要的是责任感。","Yí ge hé gé de jǐng chá zuì zhòng yào de shì zé rèn gǎn.","任に堪える警察官として最も重要なのは責任感です。",4Qtango282.mp3,4Qimi282.mp3,4Qreibun282.mp3
4,353,69,"麻烦","má fan","～に面倒をかける：面倒だ","如果谁不小心忘记了这些密码，那麻烦可就大了。","Rú guǒ shéi bù xiǎo xīn wàng jì le zhè xiē mì mǎ, nà má fan kě jiù dà le.","不注意でこれらのパスワードを忘れてしまうと、本当に面倒なことになります。",4Qtango353.mp3,4Qimi353.mp3,4Qreibun353.mp3
4,424,69,"人民币","rén mín bì","人民元","看你这么兴奋，难道找到人民币了？","Kàn nǐ zhè me xīng fèn, nán dào zhǎo dào rén mín bì le?","そんなに興奮して、人民元でも見つけました？",4Qtango424.mp3,4Qimi424.mp3,4Qreibun424.mp3
4,495,69,"抬","tái","持ち上げる・運ぶ","咱们把沙发往窗户那儿抬一下，这样看电视更舒服些。","Zán men bǎ shā fā wǎng chuāng hu nà r tái yí xià, zhè yàng kàn diàn shì gèng shū fu xiē.","ソファーを持ち上げて窓の方にちょっと運びましょうよ。こうすればテレビがもっと見やすくなりますから。",4Qtango495.mp3,4Qimi495.mp3,4Qreibun495.mp3
4,566,69,"信心","xìn xīn","自信","减了一个月都没有痩下来，我实在没有信心了。","Jiǎn le yí ge yuè dōu méi yǒu shòu xià lái, wǒ shí zài méi yǒu xìn xīn le.","1 か月間ダイエットしましたが全然痩せてこないから自信をなくしてしまいました。",4Qtango566.mp3,4Qimi566.mp3,4Qreibun566.mp3
4,636,69,"约会","yuē huì","約束（する）・デート","他一点儿也不幽默，约会的时候真无聊。","tā yì diǎn r yě bù yōu mò, yuē huì de shí hou zhēn wú liáo.","彼はちっともユーモアがないです。デートをしても本当に退屈です。",4Qtango636.mp3,4Qimi636.mp3,4Qreibun636.mp3
4,706,69,"作用","zuò yòng","作用（する）","森林对环境有很好的保护作用。","Sēn lín duì huán jìng yǒu hěn hǎo de bǎo hù zuò yòng.","森林は環境に対してよい保護作用をもちます。",4Qtango706.mp3,4Qimi706.mp3,4Qreibun706.mp3
4,70,70,"厨房","chú fáng","台所・キッチン","你从厨房的窗户向外看，就能看到花园。","Nǐ cóng chú fáng de chuāng hu xiàng wài kàn, jiù néng kàn dào huā yuán.","キッチンの窓から外を見ると、ガーデンが見えます。",4Qtango070.mp3,4Qimi070.mp3,4Qreibun070.mp3
4,141,70,"访问","făng wèn","訪問（する）・アクセスする","访问各种各样的网站已经成为人们生活的一部分。","Fǎng wèn gè zhǒng gè yàng de wǎng zhàn yǐ jīng chéng wéi rén men shēng huó de yí bù fen.","様々なホームページにアクセスすることはすでに人々の生活の一部となっています。",4Qtango141.mp3,4Qimi141.mp3,4Qreibun141.mp3
4,212,70,"合适","hé shì","ちょうどよい・適切だ","帮我看看，我穿哪条裙子合适？","Bāng wǒ kàn kan, wǒ chuān nǎ tiáo qún zi hé shì?","ちょっと見て、どんなスカートを履けば一番いいですか？",4Qtango212.mp3,4Qimi212.mp3,4Qreibun212.mp3
4,283,70,"景色","jǐng sè","景色・風景","长城的景色太美了！","Cháng chéng de jǐng sè tài měi le!","万里の長城の景色は大変美しいです。 ",4Qtango283.mp3,4Qimi283.mp3,4Qreibun283.mp3
4,354,70,"马虎","mă hu","いい加減だ・そそっかしい","他好像特别马虎。","Tā hǎo xiàng tè bié mǎ hu.","彼はとてもそそっかしいようです。",4Qtango354.mp3,4Qimi354.mp3,4Qreibun354.mp3
4,425,70,"任何","rèn hé","どのような～でも・いかなる","他报名参加了，但没有告诉任何人。","Tā bào míng cān jiā le, dàn méi yǒu gào su rèn hé rén.","彼は参加に申し込みましたが、誰にも言いませんでした。",4Qtango425.mp3,4Qimi425.mp3,4Qreibun425.mp3
4,496,70,"态度","tài du","態度","女的是什么态度？","Nǚ de shì shén me tài du?","女性はどんな態度ですか？",4Qtango496.mp3,4Qimi496.mp3,4Qreibun496.mp3
4,567,70,"信用卡","xìn yòng kă","クレジットカード","我带着信用卡呢，给你。","Wǒ dài zhe xìn yòng kǎ ne, gěi nǐ.","私はクレジットカードを持ってきました。はい、どうぞ。",4Qtango567.mp3,4Qimi567.mp3,4Qreibun567.mp3
